FBbi label	Fbbi URL	Fbbi subclass of	Fbbi subclass of label	description/definition	Notes	EDAM Direct hit	EDAM Drect hit label	EDAM subclass of	EDAM subclass_of label	EDAM superclass of	EDAM superclass-of label
FRET	http://purl.obolibrary.org/obo/FBbi_00000367					http://edamontology.org/topic___Foerster_resonance_energy_transfer					
multi-photon microscopy	http://purl.obolibrary.org/obo/FBbi_00000255					http://edamontology.org/topic__RBKlmE9DGTZwEwxw0juThGg	Multi-photon microscopy				
two-photon laser scanning microscopy	http://purl.obolibrary.org/obo/FBbi_00000254					no direct hit		http://purl.obolibrary.org/obo/FBbi_00000255	multi-photon microscopy		
SPIM	http://purl.obolibrary.org/obo/FBbi_00000369					no direct hit		http://edamontology.org/topic_Fluorescent_microscopy	Fluorescence microscopy		
OCT	http://purl.obolibrary.org/obo/FBbi_00000371					no direct hit		http://edamontology.org/topic_3385	Light microscopy		
phase contrast microscopy	http://purl.obolibrary.org/obo/FBbi_00000247					http://edamontology.org/topic__RtBCcu7zJiS0phrbR2HzAI	Phase-contrast microscopy				
polarization microscopy	http://purl.obolibrary.org/obo/FBbi_00000248					no direct hit		http://edamontology.org/topic_3385	Light microscopy		
orientation-independent polarization microscopy	http://purl.obolibrary.org/obo/FBbi_00000351					no direct hit		http://purl.obolibrary.org/obo/FBbi_00000248	polarization microscopy		
time lapse microscopy	http://purl.obolibrary.org/obo/FBbi_00000249					no direct hit		http://edamontology.org/topic_3385	Light microscopy		
scanning probe microscopy	http://purl.obolibrary.org/obo/FBbi_00000344					no direct hit		http://edamontology.org/topic_Microscopy	Microscopy		
atomic force microscopy	http://purl.obolibrary.org/obo/FBbi_00000259			the scanning probe is maintained at a fixed distance above the surface e of the specimen by van der Waals forces		http://edamontology.org/topic_____Atomic_force_microscopy		http://edamontology.org/topic_____Force_microscopy	Force microscopy		
nearfield scanning optical microscopy (ANSOM)	http://purl.obolibrary.org/obo/FBbi_00000348					no direct hit		http://edamontology.org/topic_Microscopy	Microscopy		
ANSOM	http://purl.obolibrary.org/obo/FBbi_00000349					no direct hit		http://purl.obolibrary.org/obo/FBbi_00000348	nearfield scanning optical microscopy (ANSOM)		
scanning tunneling microscopy	http://purl.obolibrary.org/obo/FBbi_00000347					no direct hit		http://purl.obolibrary.org/obo/FBbi_00000344	scanning probe microscopy		
X-ray microscopy	http://purl.obolibrary.org/obo/FBbi_00000260					http://edamontology.org/topic_____X-ray_microscopy					
radiography	http://purl.obolibrary.org/obo/FBbi_00001000					no direct hit	-	http://edamontology.org/topic_3382	Imaging		
X-ray radiography	http://purl.obolibrary.org/obo/FBbi_00001001					http://edamontology.org/topic______X_ray_imaging	X-ray imaging				
X-ray microscopy	http://purl.obolibrary.org/obo/FBbi_00000260					http://edamontology.org/topic_____X-ray_microscopy	X-ray microscopy				
X-ray tomography	http://purl.obolibrary.org/obo/FBbi_00001003					no direct hit	-	http://edamontology.org/topic_____X-ray_microscopy	X-ray microscopy		
X-ray computed tomography	http://purl.obolibrary.org/obo/FBbi_00001002				no additional information in this row	no direct hit	-				
tomography	http://purl.obolibrary.org/obo/FBbi_00001004					http://edamontology.org/topic_3452	Tomography				
computed tomography	http://purl.obolibrary.org/obo/FBbi_00001005					http://edamontology.org/topic__RxfmHE99gOkUOOML5krfsJ	Computed tomography				
X-ray computed tomography	http://purl.obolibrary.org/obo/FBbi_00001002				not found in EDAM , but there is a microtomography	no direct hit	-	http://edamontology.org/topic__RxfmHE99gOkUOOML5krfsJ	Computed tomography	http://edamontology.org/topic______Computed_microtomography	X-ray microtomography
X-ray tomography	http://purl.obolibrary.org/obo/FBbi_00001003					no direct hit	-	http://edamontology.org/topic_3452	Tomography	http://edamontology.org/topic_____Soft_x-ray_tomography	Soft X-ray tomography
X-ray computed tomography	http://purl.obolibrary.org/obo/FBbi_00001002				no additional information in this row	no direct hit	-				
